Pack,Name,Challenge,More than 1 winner,Illustration?,Type,How to Win
Mulligans,Texas Wedge,Putt from the fringe onto the green,No,Yes,Individual,"When you're just off the green on the fringe (the short collar of grass around it), use your putter instead of a chip and roll it onto the green. Pull off one 'Texas wedge' and the card is yours."
Etiquette,Gimme Giver,Concede a putt,No,Yes,Individual,Give at least one opponent a 'gimme' this hole — concede a short putt and let them pick it up. Generosity wins this one.
Etiquette,Cool Hands,No slammed or tossed clubs,No,Yes,Individual,"Get through the hole without slamming, throwing, or dropping a club in frustration — no matter how the shots go. Keep it together between shots and the card is yours."
Etiquette,Respect the Line,Don’t step on putting lines,No,Yes,Individual,"When on the green, walk or jump over the line of your fellow golfers.  Do not walk on the line."
Etiquette,For the Record,Record your scores on the next tee box,No,Yes,Individual,"When you complete a hole, don’t record your score digitally or on paper until you reach the next tee box."
Mulligans,"Off the Tee, Up in the Air",Get your tee shot airborne,No,Yes,Individual,"Get your tee shot up into the air on this hole (on a par 3, that means a clean strike that flies). A grounder off the tee loses it — everything after the tee shot is forgiven."
Matchup,Closest to the Pin,Closest to the pin in regulation,No,Yes,Matchup,"Whoever's ball is on the green closest to the hole — while reaching it fast enough to still have two putts left for par (1st shot on a par 3, 2nd on a par 4, 3rd on a par 5) — wins. If nobody reaches the green that fast, nobody wins the card."
Matchup,Sniper,"Closest approach to the pin, any shot",No,Yes,Matchup,Whoever's approach shot (the shot meant to reach the green) finishes closest to the hole wins — no matter how many strokes it took to get there or where they hit it from. Everyone gets one approach; closest ball takes the card.
Matchup,Bounty,Beat the current card leader; everyone who does draws,Yes,Yes,Matchup,There's a bounty on whoever holds the most cards when this is flipped (the card leader). Every player who scores lower than the leader on this hole wins the card. The leader can't win their own bounty — they can only defend.
Matchup,Shot of the Hole,Group votes best shot of the hole; can't vote for yourself,No,Yes,Matchup,"After everyone finishes the hole, the group votes on the single best shot anyone hit — and you can't vote for your own. Most votes wins the card; if the vote ties, revote between the tied shots."
Matchup,Nuke It,Longest drive,No,Yes,Matchup,"After every player has hit exactly two shots, whoever's ball sits nearest the hole wins the card. Holing out in two beats everything. Balls out of play don't count."
Matchup,Putter Master,Fewest putts on the hole,Yes,Yes,Matchup,Whoever uses the fewest putts on the green wins the card. Only strokes taken on the putting surface count as putts — chips from off the green don't. Ties share the win.
Matchup,Not the Goat,Don't post the group's worst score,Yes,Yes,Matchup,"Don't post the worst score in the group. Everyone except the player (or players, if tied) with the highest score on the hole wins the card."
Matchup,Longest Made,Longest holed putt wins,No,Yes,Matchup,"Whoever sinks the longest putt on the hole wins the card. Compare the distances of every made putt — longest one takes it. If nobody makes a putt outside tap-in range, nobody wins."
Matchup,First to the Dance,On the green in fewest strokes,No,Yes,Matchup,"Whoever gets their ball onto the green (the putting surface — golfers call it ""the dance floor"") in the fewest strokes wins the card. Ties share the win."
Matchup,Low Score,Lowest score on the hole wins,Yes,Yes,Matchup,"Simple: lowest total score on the hole wins the card. If two or more players tie for the lowest score, all tied players win."
The Tips,Drain the Bomb,Make a putt of 20+ feet,No,Yes,Individual,Sink a putt from 20 feet or longer — about seven paces. Agree on the distance as a group before the stroke if it's borderline.
The Tips,Flag Rattler,Hit the flagstick from off the green,No,Yes,Individual,Hit the flagstick (the pole holding the flag) with a shot played from off the green. The ball doesn't have to go in — the sound of ball on pin is enough to win the card.
The Tips,Birdie Hunter,Birdie or better,No,Yes,Individual,Finish the hole at least one stroke better than par — golfers call that a birdie. Example: a 3 or better on a par 4. Par or worse loses the card.
The Tips,Stick It,Approach finishes inside 5 feet,No,Yes,Individual,"Your approach shot — the one meant to reach the green — must stop within 5 feet of the hole (about two paces). Stick it that close and the card is yours, whether or not you make the putt."
The Tips,Iron Will,"Play the whole hole with one club, bogey or better",No,Yes,Individual,"Choose one single club before the hole starts and play every shot with it — tee shot, approaches, and every putt — AND finish no worse than one over par. Touching a second club or scoring two over loses the card."
The Tips,Darts,Green in regulation with the ball inside 15 feet,No,Yes,Individual,"Reach the green with two putts to spare for par — 1st shot on a par 3, 2nd on a par 4, 3rd on a par 5 — AND have the ball stop within 15 feet of the hole (about five paces). Both parts must happen on the same shot."
The Tips,Kick-In Bird,Birdie with a tap-in finish,No,Yes,Individual,"Score one better than par (a birdie) where your final putt is a tap-in — a putt so short it can't be missed, about 18 inches or less. You have to get the ball nearly into the hole with the previous shot, then tap it home for birdie."
The Tips,Snake Charmer,Make a putt of 30+ feet,No,Yes,Individual,"Sink a putt from 30 feet or longer — ten big paces, all the way across the green. Agree on the distance as a group before the stroke if it's borderline."
The Tips,Ten-Foot Bird,Hole a 10+ foot birdie putt,No,Yes,Individual,Sink a putt of 10 feet or longer (about three paces) that gives you a score one better than par — a long putt AND a birdie in one stroke. A long putt for par doesn't count; a short birdie putt doesn't either.
League,Full Flight,Carry the ball onto the green on the fly,No,Yes,Individual,Land a shot directly on the green out of the air — the ball's first bounce must be on the putting surface itself. A ball that bounces or rolls onto the green from in front doesn't count.
League,One and Done,One-putt the hole,No,Yes,Individual,"Sink your very first putt on the green — one putt for the entire hole. Shots hit from the fringe or off the green count as chips, not putts, so a chip-then-one-putt still wins."
League,Good Look,Putt for birdie from inside 20 feet,No,Yes,Individual,Give yourself a real chance at a birdie (a score one better than par): your ball on the green within 20 feet of the hole with your next putt being for birdie or better. You don't have to sink it — creating the chance wins the card.
League,Fifteen Feet,Approach finishes inside 15 feet,No,Yes,Individual,Your approach shot (the one meant to reach the green) must stop within 15 feet of the hole — about five paces. On or just off the green both count; measure or let the group judge if it's close.
League,Lights Out,One-putt AND par or better,No,Yes,Individual,"Do two things on the same hole: sink your very first putt on the green (one putt total), AND finish the hole at par or better. Both must happen — a one-putt for a bogey doesn't count."
League,Make Par,Par or better,No,Yes,Individual,Finish the hole at par or better — match the number on the scorecard or beat it. Even one stroke over loses the card.
Standard,Cap the Damage,No double bogey or worse,No,Yes,Individual,"Finish the hole no more than two strokes over par (two over is called a double bogey). Example: on a par 4, a score of 6 or better wins the card; a 7 or higher loses it."
Standard,Five or Better,Score 5 or better,No,Yes,Individual,Get your ball in the hole in 5 total strokes or fewer — counting every swing and any penalty strokes — no matter what the hole's par is.
Standard,Bogey Train,Bogey or better,No,Yes,Individual,"Finish the hole no more than one stroke over par (par is the target score printed on the scorecard — one over is called a bogey). Example: on a par 4, a score of 5 or better wins the card; a 6 loses it."
Standard,Close to Par,Score within one stroke of par,No,Yes,Individual,"Finish within one stroke of par in either direction. Example: on a par 4, a score of 3, 4, or 5 wins the card; anything else loses it."
Mulligans,No Snowman,Score less than 8,No,Yes,Individual,"Get your ball in the hole in 7 total strokes or fewer, counting every swing and every penalty. An 8 or higher loses the card."
Mulligans,Six or Better,Score 6 or better,No,Yes,Individual,"Get your ball in the hole in 6 total strokes or fewer, counting every swing and any penalty strokes, no matter what the hole's par is."
Mulligans,Seeing Double,Score is double par or better,No,Yes,Individual,"Your score for this hole cannot be above double par. That means your max stroke for a par 3 is 6, par 4, is 8 and par 5 is 10."
League,Greenlight,Green in regulation,No,Yes,Individual,"Get your ball onto the green fast enough that you have two putts left to make par — that means on the green with your 1st shot on a par 3, your 2nd shot on a par 4, or your 3rd shot on a par 5. (Golfers call this a ""green in regulation."") The fringe around the green doesn't count."
Standard,Inside the Leather Lite,Approach finishes within 30 feet of the pin,No,Yes,Individual,Your approach shot — the shot where you're trying to reach the green — must stop within 30 feet of the flag (about 10 big paces). Pace it off or let the group judge if it's close.
Standard,Fringe & Better,Green or fringe in regulation,No,Yes,Individual,"Get your ball to stop on the green or the fringe (the collar of short grass around it) fast enough that you still have two shots left to make par — that means within 1 shot on a par 3, 2 shots on a par 4, or 3 shots on a par 5."
Standard,Always Fairways,Only fairways shots to the green,No,Yes,Individual,"Every shot you take from the teebox to the green is from the fairway or fringe. No bunkers, rough, trees. None of the thick stuff!"
League,Snake,Make a putt of 15+ feet,No,Yes,Individual,Sink a putt from 15 feet or longer — about five paces. Agree on the distance as a group before the stroke if it's borderline.
League,Inside the Leather,First putt finishes inside the leather,No,Yes,Individual,"Your first putt on the green must either go in or stop closer to the hole than the length of your putter's grip (the leather-wrapped handle — lay the putter down to check). That's where the old golf phrase ""inside the leather"" comes from."
League,Dead Weight,First putt holed or finishes inside 18 inches,No,Yes,Individual,Your first putt on the green must either drop in or stop within 18 inches of the hole — about the length of your forearm. Perfect speed is the whole game here; run it long or leave it short and the card is lost.
Standard,Escape Artist,Never take two shots within a 10ft circle,No,Yes,Individual,"From every swing, you can never have 2 shots within the same 10 foot circle.  This means if your putt is less than 10 feet from the hole, then you must one putt it."
Mulligans,In Bounds,No OB on this hole,No,Yes,Individual,Finish the hole without ever hitting a ball out of bounds (past the white stakes that mark the edge of the course). One ball out of bounds and the card is lost.
Mulligans,No Whiffs,No swing-and-miss,No,Yes,Individual,"Make contact with the ball on every swing you intend to hit. A full swing-and-a-miss (a ""whiff"") loses the card. Practice swings are fine — they don't count."
Mulligans,One Look,Max one practice swing per shot,No,Yes,Individual,"Take no more than one practice swing before each shot, the entire hole. A second rehearsal swing before any shot loses the card. Small wiggles of the club at address don't count."
Mulligans,Steady Eddie,Max one penalty stroke,No,Yes,Individual,"Finish the hole with no more than one penalty stroke. (Penalty strokes are the extra strokes added to your score for things like hitting into water, losing a ball, or going out of bounds.) One penalty is survivable — a second loses the card."
Mulligans,Find It,No lost balls,No,Yes,Individual,"Finish the hole without losing a single ball. You can hit it into the trees or deep grass, but every ball you hit must be found — if you have to give up on one and drop a new ball, the card is lost."
Mulligans,Lag It Close,Two-putt or better,No,Yes,Individual,"Once your ball is on the green, get it in the hole using no more than two putts. Shots hit from off the green don't count against you — only putts on the green matter. Three putts and the card is lost."
Mulligans,Charge the Cup,Roll your first putt past the hole,No,Yes,Individual,"Your very first putt on the green must either go in the hole or roll at least as far as the hole. If it stops short of the hole, the card is lost. Never leave it short!"
Mulligans,No Gimmes,Putt out,No,Yes,Individual,"Putt everything into the bottom of the cup — no ""that's good, pick it up,"" no freebie tap-ins. Every ball must actually drop in the hole for the card to count."
Mulligans,Three-Jacks,Three-putt or better,No,Yes,Individual,"Finish the hole without ever needing four putts on the green. Three putts is forgiven — but the moment you're standing over a fourth putt, the card is lost."
Mulligans,Airborne,Every full swing gets the ball airborne,No,Yes,Individual,"Every full swing you take must get the ball up into the air. A ball that scoots along the ground off a full swing loses the card. Putts, and short shots you intend to keep low, don't count against you."
Standard,Never Short,No putt left short all hole,No,Yes,Individual,"Every putt you hit all hole must reach the hole — going in, stopping next to it, or rolling past all count. Leave even one putt short of the hole and the card is lost."
Standard,From Distance,Make a putt of 10+ feet,No,Yes,Individual,"Sink a putt from 10 feet or longer (about three or four paces). If the distance looks borderline, agree on it as a group before you hit the putt."
Standard,Clean Card,No penalty strokes,No,Yes,Individual,"Finish the hole with zero penalty strokes — the extra strokes added to your score for hitting into water, losing a ball, going out of bounds, or declaring your ball unplayable. Any penalty at all loses the card."
Standard,Pure Contact,"No tops, shanks, or whiffs",No,Yes,Individual,"Hit the ball cleanly on every swing — no balls skittering along the ground off the top of the club, no shots shooting sideways off the club's neck, no complete misses. The group is the judge on anything ugly-but-debatable."
Standard,Money from Five,Make putt inside 5 feet,No,Yes,Individual,Make every putt you face from 5 feet or closer (about two paces from the hole). You must face at least one putt from that range during the hole — and sink them all. One miss from short range loses the card.
Standard,Three to Finish,"Once inside 50 yards, hole out in 3 or fewer",No,Yes,Individual,"From the moment you hit your first shot within 50 yards of the flag, get the ball in the hole in 3 strokes or fewer. The count starts with that first close-range shot itself."
Standard,Ball Marriage,Finish the hole with the ball you teed off with,No,Yes,Individual,"Finish the hole with the exact same ball you hit off the tee. Lose it, drown it, or swap it out for any reason, and the card is lost. Till the cup do you part."
Standard,Zen Master,Play the hole without one complaint,No,Yes,Individual,"Play the entire hole without a single complaint, swear word, club slam, or visible meltdown — no matter what happens. The group is the judge, and one outburst loses the card."
League,The Purist,No practice swings all hole plus par or better,No,Yes,Individual,"Do two things on the same hole: take zero practice swings the entire hole — walk up and hit it, every time — AND finish at par or better. One rehearsal swing or one stroke over par loses the card."
League,Forty & In,"Once inside 40 yards, hole out in 2 or fewer",No,Yes,Individual,"From the moment you hit your first shot within 40 yards of the flag, get the ball in the hole in 2 strokes or fewer — for example, a chip and one putt. The count starts with that first close-range shot itself."
League,Corner Pocket,Hole a putt with visible break (group judges),No,Yes,Individual,Sink a putt that visibly curves on its way to the hole — not a straight one. The group must agree the ball clearly bent left or right before dropping. One curving made putt wins the card.
League,Three foot circle,Your first putt is within 3-feet of the hole,No,Yes,Individual,"Before hitting a putt of 10 feet or longer (about three paces), announce out loud which way it will curve on its way to the hole — then sink it. Make the putt after calling the curve and the card is yours."
League,Jar It,Hole out from off the green,No,Yes,Individual,"Sink any shot played from off the putting surface — a chip, a pitch, a bunker blast, or a putt from the fringe. The moment one disappears into the cup, the card is yours."
Standard,"Check, Please",Hit a chip that checks up,No,Yes,Individual,"Play a chip or pitch that clearly bites — no more than two bounces before it settles, no racing across the green. The group judges the check. One spinner wins it."
League,All Green,"Once on the green, stay on the green",No,Yes,Individual,"Once you get on the green, all putts must stay on the green. Don’t let your putt leave the green."
Mulligans,Collar Catch,Miss the green? The fringe saves you,No,Yes,Individual,"If your approach (the shot meant to reach the green) misses the putting surface, it must stop on the fringe or the short grass right around it. Hit the green outright and you win by default."
